Date,Open,High,Low,Close,Adj Close,Volume
2012-08-21,3.467500,3.635000,3.452500,3.605000,3.233932,4180152
2012-08-22,3.625000,3.637500,3.375000,3.387500,3.038819,3921560
2012-08-23,3.442500,3.515000,3.270000,3.282500,2.944627,3540872
2012-08-24,3.282500,3.282500,3.137500,3.195000,2.866134,3071916
2012-08-27,3.187500,3.247500,3.095000,3.225000,2.893046,1611936
2012-08-28,3.242500,3.355000,3.187500,3.347500,3.002937,1541596
2012-08-29,3.360000,3.437500,3.345000,3.380000,3.032091,791260
2012-08-30,3.365000,3.450000,3.365000,3.405000,3.054518,1464708
2012-08-31,3.412500,3.450000,3.385000,3.440000,3.085916,1285212
2012-09-03,3.442500,3.472500,3.277500,3.340000,2.996208,941236
2012-09-04,3.362500,3.397500,3.290000,3.350000,3.005179,589392
2012-09-05,3.360000,3.380000,3.287500,3.352500,3.007422,634924
2012-09-06,3.370000,3.477500,3.330000,3.477500,3.119556,1606684
2012-09-07,3.470000,3.537500,3.400000,3.402500,3.052275,1531964
2012-09-10,3.437500,3.497500,3.375000,3.475000,3.117313,1389932
2012-09-11,3.492500,3.492500,3.405000,3.447500,3.092643,619864
2012-09-12,3.500000,3.522500,3.462500,3.510000,3.148710,972064
2012-09-13,3.497500,3.497500,3.420000,3.440000,3.085916,510680
2012-09-14,3.537500,3.625000,3.480000,3.537500,3.173379,2090848
2012-09-17,3.577500,3.675000,3.565000,3.647500,3.272057,1423516
2012-09-18,3.675000,3.785000,3.650000,3.750000,3.364007,2164304
2012-09-19,3.760000,3.960000,3.757500,3.927500,3.523236,2751748
2012-09-20,3.925000,4.015000,3.840000,3.840000,3.444743,2189456
2012-09-21,3.907500,3.922500,3.760000,3.800000,3.408860,2963140
2012-09-24,3.835000,3.835000,3.632500,3.632500,3.258601,2163868
2012-09-25,3.632500,3.720000,3.530000,3.612500,3.240659,1891604
2012-09-26,3.562500,3.562500,3.375000,3.375000,3.027606,1928732
2012-09-27,3.412500,3.547500,3.355000,3.525000,3.162166,1772304
2012-09-28,3.547500,3.597500,3.387500,3.410000,3.059004,1601920
2012-10-01,3.510000,3.582500,3.427500,3.580000,3.211505,1234492
2012-10-02,3.572500,3.650000,3.462500,3.557500,3.191321,1435376
2012-10-03,3.200000,4.490000,3.130000,3.590000,3.220476,2715588
2012-10-04,3.630000,3.820000,3.220000,3.320000,2.978267,2976872
2012-10-05,3.320000,3.360000,3.200000,3.260000,2.924443,1168424
2012-10-08,3.260000,3.270000,3.070000,3.260000,2.924443,1290106
2012-10-09,3.250000,3.260000,3.130000,3.150000,2.825766,825122
2012-10-10,3.150000,3.170000,2.950000,2.970000,2.664293,1241572
2012-10-11,2.930000,2.990000,2.740000,2.950000,2.646352,1927062
2012-10-12,3.010000,3.030000,2.820000,2.830000,2.538703,1098554
2012-10-15,2.860000,2.870000,2.660000,2.680000,2.404143,2111114
2012-10-16,2.700000,2.910000,2.700000,2.910000,2.610469,2502052
2012-10-17,3.020000,3.050000,2.850000,2.880000,2.583557,2528375
2012-10-18,2.920000,2.950000,2.860000,2.870000,2.574586,982558
2012-10-19,2.870000,2.900000,2.710000,2.760000,2.475909,1166806
2012-10-22,2.800000,2.850000,2.780000,2.810000,2.520762,561508
2012-10-23,2.820000,2.850000,2.760000,2.800000,2.511792,525725
2012-10-24,2.800000,2.850000,2.750000,2.800000,2.511792,686285
2012-10-25,2.643000,2.760000,2.561000,2.740000,2.457968,3128177
2012-10-26,2.610000,2.780000,2.610000,2.702000,2.423879,1601166
2012-10-29,2.698000,2.780000,2.698000,2.744000,2.461556,697490
2012-10-30,2.770000,2.770000,2.670000,2.670000,2.395173,941475
2012-10-31,2.719000,2.738000,2.672000,2.673000,2.397864,535663
2012-11-01,2.670000,2.677000,2.628000,2.640000,2.368261,627606
2012-11-02,2.677000,2.677000,2.567000,2.635000,2.363775,2056370
2012-11-05,2.620000,2.628000,2.562000,2.571000,2.306363,605979
2012-11-06,2.579000,2.600000,2.510000,2.510000,2.251642,713458
2012-11-07,2.540000,2.575000,2.481000,2.481000,2.225627,574264
2012-11-08,2.500000,2.500000,2.411000,2.495000,2.238186,1977930
2012-11-09,2.465000,2.465000,2.381000,2.450000,2.197818,636958
2012-11-12,2.412000,2.440000,2.395000,2.395000,2.148479,1273952
2012-11-13,2.310000,2.320000,2.120000,2.145000,1.924212,6931826
2012-11-14,2.120000,2.145000,1.976000,1.992000,1.786960,2670686
2012-11-15,1.970000,2.049000,1.917000,1.917000,1.719680,2520335
2012-11-16,1.970000,2.000000,1.835000,1.835000,1.646121,2422487
2012-11-19,1.851000,1.880000,1.723000,1.760000,1.578840,3977264
2012-11-20,1.752000,1.840000,1.750000,1.820000,1.632665,2170050
2012-11-21,1.840000,2.046000,1.801000,2.035000,1.825534,3217341
2012-11-22,2.045000,2.140000,2.035000,2.065000,1.852446,1614439
2012-11-23,2.076000,2.082000,1.981000,2.050000,1.838990,1426678
2012-11-26,2.010000,2.050000,1.980000,2.000000,1.794137,663701
2012-11-27,2.000000,2.040000,1.976000,2.040000,1.830020,1483157
2012-11-28,2.040000,2.040000,1.980000,1.998000,1.792343,3415442
2012-11-29,2.040000,2.040000,2.010000,2.023000,1.814770,785964
2012-11-30,2.038000,2.045000,2.012000,2.035000,1.825534,379817
2012-12-03,2.020000,2.051000,1.980000,1.980000,1.776196,1044301
2012-12-04,2.030000,2.030000,1.913000,1.913000,1.716092,795320
2012-12-05,1.921000,1.960000,1.885000,1.894000,1.699048,623319
2012-12-06,1.898000,1.913000,1.875000,1.889000,1.694562,626566
2012-12-07,1.900000,1.900000,1.812000,1.818000,1.630870,1390768
2012-12-10,1.860000,1.866000,1.764000,1.855000,1.664062,872936
2012-12-11,1.862000,1.885000,1.825000,1.860000,1.668547,1373852
2012-12-12,1.864000,1.864000,1.813000,1.840000,1.650606,859116
2012-12-13,1.859000,1.933000,1.850000,1.912000,1.715195,1866263
2012-12-14,1.955000,1.970000,1.922000,1.934000,1.734930,860426
2012-12-17,1.959000,2.026000,1.938000,2.026000,1.817461,2669679
