Date,Open,High,Low,Close,Adj Close,Volume
2011-07-04,3.159595,3.271110,2.977454,2.977454,2.309432,0
2011-07-05,3.159595,3.271110,2.977454,2.977454,2.309432,130770928
2011-07-06,3.016484,3.091757,2.973737,3.020201,2.342588,97661039
2011-07-07,3.131717,3.410504,3.059232,3.391919,2.630908,75755692
2011-07-08,3.491353,3.574060,3.286908,3.331515,2.584056,52357633
2011-07-11,3.236727,3.273898,3.168888,3.247878,2.519184,66420274
2011-07-12,3.183757,3.289696,3.159595,3.252525,2.522789,54067307
2011-07-13,3.173535,3.298989,3.159595,3.262747,2.530717,55005324
2011-07-14,3.164242,3.364040,3.159595,3.289696,2.551620,40739724
2011-07-15,3.160525,3.233939,3.159595,3.186545,2.471612,55468165
2011-07-18,3.142868,3.192121,3.114989,3.131717,2.429085,43962679
2011-07-19,3.075959,3.183757,3.030424,3.159595,2.450708,34263323
2011-07-20,3.159595,3.242302,3.066666,3.066666,2.378628,20910453
2011-07-21,3.159595,3.192121,3.022060,3.041575,2.359167,86796990
2011-07-22,3.066666,3.111272,3.043434,3.067595,2.379349,34195346
2011-07-25,3.035070,3.085252,3.029494,3.059232,2.372862,11952167
2011-07-26,3.072242,3.085252,3.001616,3.048080,2.364213,17314474
2011-07-27,3.014626,3.065737,2.779515,2.855717,2.215008,25304278
2011-07-28,2.839919,2.956080,2.749777,2.815757,2.184014,26782220
2011-07-29,2.778585,2.807393,2.592727,2.741414,2.126350,25175349
2011-08-01,2.718181,2.778585,2.611313,2.618747,2.031205,14076580
2011-08-02,2.602020,2.602020,2.481212,2.528605,1.961287,21766159
2011-08-03,2.504444,2.513737,2.370626,2.435676,1.889208,20752117
2011-08-04,2.467272,2.536969,2.313939,2.324161,1.802712,20819507
2011-08-05,2.267474,2.463555,2.194989,2.440323,1.892812,28874024
2011-08-08,2.444040,2.619676,2.388282,2.413373,1.871908,10312233
2011-08-09,2.423595,2.459838,2.251676,2.368767,1.837310,12217217
2011-08-10,2.416161,2.509090,2.352040,2.370626,1.838752,12850869
2011-08-11,2.412444,2.546262,2.378989,2.481212,1.924527,14182241
2011-08-12,2.488646,2.629898,2.488646,2.585292,2.005256,11882303
2011-08-15,2.602020,2.645696,2.565777,2.621535,2.033367,11424716
2011-08-16,2.603878,2.639191,2.574141,2.611313,2.025439,6851509
2011-08-17,2.592727,2.620605,2.499797,2.564848,1.989398,7723673
2011-08-18,2.547191,2.564848,2.357616,2.478424,1.922365,9371329
2011-08-19,2.481212,2.507232,2.351111,2.431959,1.886325,9693760
2011-08-22,2.425454,2.485858,2.371555,2.433818,1.887766,3722187
2011-08-23,2.453333,2.454262,2.397575,2.428242,1.883441,3755247
2011-08-24,2.445898,2.493292,2.419878,2.462626,1.910111,4269412
2011-08-25,2.496080,2.509090,2.434747,2.490504,1.931734,9425532
2011-08-26,2.482141,2.484929,2.397575,2.439393,1.892091,6622461
2011-08-29,2.454262,2.508161,2.411515,2.457979,1.906507,3713667
2011-08-30,2.499797,2.666141,2.499797,2.611313,2.025439,20277985
2011-08-31,2.615959,2.843636,2.614100,2.787878,2.162390,15110378
2011-09-01,2.776727,2.791595,2.681009,2.750706,2.133558,13262468
2011-09-02,2.727474,2.757212,2.667999,2.733979,2.120584,10753241
2011-09-05,2.694949,2.732121,2.662424,2.706100,2.098959,10300290
2011-09-06,2.694949,2.759999,2.658706,2.724686,2.113375,16392867
2011-09-07,2.781373,2.825979,2.756282,2.785090,2.160227,9399082
2011-09-08,2.787878,2.884525,2.751636,2.772080,2.150136,13091702
2011-09-09,2.751636,2.834343,2.705171,2.753494,2.135720,6103240
2011-09-12,2.693090,2.750706,2.666141,2.703313,2.096798,8415885
2011-09-13,2.741414,2.750706,2.575070,2.604807,2.020392,8499625
2011-09-14,2.585292,2.684727,2.565777,2.676363,2.075894,8352428
2011-09-15,2.691232,2.760929,2.671717,2.728403,2.116258,27211516
2011-09-16,2.769292,2.823191,2.723757,2.779515,2.155903,15371951
2011-09-19,2.754424,2.806464,2.724686,2.741414,2.126350,23600310
2011-09-20,2.732121,2.762787,2.694949,2.742343,2.127071,8832955
2011-09-21,2.736767,2.751636,2.695878,2.730262,2.117700,47150114
2011-09-22,2.670787,2.704242,2.620605,2.620605,2.032646,29108220
2011-09-23,2.647555,2.647555,2.536040,2.590868,2.009580,7706062
