Date,Open,High,Low,Close,Adj Close,Volume
2006-05-24,331.243256,336.114471,318.578064,329.781891,326.504547,115777
2006-05-25,329.781891,339.037201,328.320526,338.550079,335.185608,116957
2006-05-26,340.011444,352.676636,338.550079,348.292542,344.831238,25505
2006-05-29,348.292542,360.470612,346.344055,357.060730,353.512299,42247
2006-05-30,358.522095,360.470612,356.086487,360.470612,356.888306,7208
2006-05-31,364.367584,370.213043,358.034973,370.213043,366.533905,11778
2006-06-01,378.981262,384.826721,375.084259,383.852478,380.037811,32311
2006-06-02,384.826721,407.721466,384.826721,401.876007,397.882202,11380
2006-06-05,404.311615,436.461700,404.311615,430.129120,425.854553,19892
2006-06-06,430.129120,436.461700,430.129120,435.000336,430.677368,14760
2006-06-07,435.487457,435.974579,428.667725,435.974579,431.641907,19118
2006-06-08,435.974579,441.820038,435.974579,441.820038,437.429291,7671
2006-06-09,442.307159,446.691284,399.440399,446.691284,442.252106,10131
2006-06-12,446.691284,467.637543,446.691284,464.714813,460.096527,7473
2006-06-13,465.201935,489.558044,464.714813,489.558044,484.692871,9200
2006-06-14,491.993652,550.448364,491.993652,536.808899,531.474182,79679
2006-06-15,536.808899,536.808899,536.808899,536.808899,531.474182,0
2006-06-16,536.808899,536.808899,536.808899,536.808899,531.474182,0
2006-06-19,618.645508,621.081116,608.903015,613.774292,607.674683,14884
2006-06-20,613.774292,614.748535,604.031799,608.903015,602.851807,22239
2006-06-21,613.287170,613.287170,604.031799,610.851501,604.780945,6655
2006-06-22,611.338623,611.825745,604.518921,611.825745,605.745483,5076
2006-06-23,613.287170,614.748535,605.980286,613.774292,607.674683,14193
2006-06-26,613.774292,616.209900,605.493164,616.209900,610.086060,4176
2006-06-27,616.209900,619.132629,608.903015,616.209900,610.086060,3278
2006-06-28,608.903015,618.645508,608.903015,618.645508,612.497498,3422
2006-06-29,619.619751,619.619751,612.312866,619.619751,613.462036,3450
2006-06-30,621.081116,655.179688,616.209900,628.387939,622.143066,4142
2006-07-03,639.104614,662.486511,631.310669,635.694763,629.377319,4989
2006-07-04,651.769836,660.538025,642.027344,643.001587,636.611511,1917
2006-07-05,648.847107,648.847107,594.289368,639.591736,633.235535,5628
2006-07-06,639.104614,652.744080,637.643250,645.437195,639.022888,2803
2006-07-07,645.437195,647.385681,640.565979,646.411438,639.987488,2132
2006-07-10,644.950073,647.385681,638.130371,646.898560,640.469788,1988
2006-07-11,645.437195,657.128174,641.053101,656.641052,650.115417,2954
2006-07-12,657.128174,701.456299,657.128174,661.512268,654.938232,5611
2006-07-13,660.538025,674.664551,648.359985,657.615295,651.080017,3523
2006-07-14,651.282715,669.793335,644.462952,656.153931,649.633179,2160
2006-07-17,646.411438,655.179688,643.001587,652.256958,645.774902,5160
2006-07-18,656.153931,657.128174,652.256958,657.128174,650.597717,2501
2006-07-19,657.615295,669.306213,645.924316,665.896362,659.278748,2353
2006-07-20,679.048645,679.048645,667.357727,672.228943,665.548401,2998
2006-07-21,679.048645,685.381287,673.690308,679.535767,672.782593,4714
2006-07-24,686.842651,693.175232,681.971375,684.894165,678.087769,2270
2006-07-25,693.662354,695.123718,687.329773,691.713867,684.839722,1389
2006-07-26,699.994934,705.353271,695.123718,705.353271,698.343567,2490
2006-07-27,709.737366,718.992737,709.737366,718.992737,711.847473,4215
2006-07-28,724.838196,733.606384,720.941223,733.119263,725.833618,5311
2006-07-31,743.348816,747.732910,733.119263,747.732910,740.302002,6530
2006-08-01,756.501160,786.702698,755.039795,779.395874,771.650330,9643
2006-08-02,794.009583,813.494446,787.676941,813.494446,805.410034,12062
2006-08-03,830.543762,845.157410,797.419434,829.569519,821.325378,13162
2006-08-04,846.131653,846.131653,831.030884,846.131653,837.722900,4459
2006-08-07,847.593018,867.077942,842.721802,867.077942,858.460999,8039
2006-08-08,871.949158,900.202271,869.513550,900.202271,891.256165,11023
2006-08-09,913.354553,935.275085,902.150757,928.942505,919.710754,15025
2006-08-10,940.146301,964.502441,910.431824,947.453125,938.037476,16824
2006-08-11,964.502441,965.963806,928.942505,932.352356,923.086731,12595
2006-08-14,930.403870,930.403870,837.850586,898.740906,889.809326,33507
2006-08-15,884.127197,895.818176,867.077942,886.562805,877.752258,4655
2006-08-16,869.026428,893.869690,847.593018,888.024170,879.199097,24973
2006-08-17,888.998413,896.792419,888.998413,892.895386,884.021912,3009
2006-08-18,900.689392,901.663635,892.895386,896.305298,887.397949,2261
2006-08-21,905.073486,905.073486,899.228027,905.073486,896.078979,4769
2006-08-22,906.047729,913.841675,905.560608,913.841675,904.760010,4294
2006-08-23,922.609863,923.096985,913.841675,923.096985,913.923340,1719
2006-08-24,925.532593,932.839478,923.096985,923.096985,913.923340,6576
2006-08-25,924.071228,930.403870,923.096985,930.403870,921.157654,4221
2006-08-28,930.403870,935.275085,928.455383,931.378113,922.122192,2727
2006-08-29,930.403870,931.865234,928.455383,929.916748,920.675354,3318
2006-08-30,933.813721,933.813721,927.968201,930.403870,921.157654,2579
2006-08-31,929.429626,930.403870,927.481079,928.942505,919.710754,1974
2006-09-01,932.839478,938.197815,927.968201,938.197815,928.874146,2565
2006-09-04,944.530396,948.914490,940.633423,944.043274,934.661499,2799
2006-09-05,945.991760,948.914490,941.120544,944.530396,935.143738,2447
2006-09-06,948.914490,949.401611,942.094788,947.453125,938.037476,2347
2006-09-07,945.991760,945.991760,940.146301,940.146301,930.803223,1230
2006-09-08,944.530396,947.453125,935.275085,947.453125,938.037476,1535
2006-09-11,948.914490,948.914490,938.684937,944.530396,935.143738,1714
2006-09-12,946.478882,949.888733,944.530396,949.888733,940.448853,2164
2006-09-13,951.837219,956.221313,950.375854,955.247070,945.753967,1248
2006-09-14,959.144043,960.118286,949.888733,959.631165,950.094482,1622
2006-09-15,961.579651,961.579651,949.888733,957.195557,947.683044,1852
2006-09-18,950.375854,954.759949,949.888733,952.324341,942.860229,1869
2006-09-19,947.453125,949.401611,945.017517,947.453125,938.037476,2574
2006-09-20,942.581909,944.530396,942.581909,942.581909,933.214661,4223
2006-09-21,942.581909,949.401611,942.581909,945.017517,935.626038,3731
2006-09-22,940.146301,947.940247,940.146301,940.146301,930.803223,1338
2006-09-25,942.581909,947.453125,940.146301,940.633423,931.285522,1108
2006-09-26,943.069031,943.556152,940.633423,942.581909,933.214661,2580
2006-09-27,942.581909,949.888733,934.787964,945.017517,935.626038,5188
2006-09-28,945.504639,952.324341,944.043274,952.324341,942.860229,1975
2006-09-29,958.169800,960.118286,946.966003,955.734192,946.236206,3546
2006-10-02,958.656921,967.425171,955.247070,960.605408,951.059021,4262
2006-10-03,966.450928,966.938049,962.066772,962.066772,952.505859,2742
2006-10-04,964.502441,966.450928,952.324341,961.579651,952.023560,1484
2006-10-05,955.734192,959.144043,945.017517,954.272827,944.789368,2138
2006-10-06,965.476685,966.938049,956.221313,966.938049,957.328735,2579
2006-10-09,968.886536,968.886536,957.682678,961.579651,952.023560,2042
2006-10-10,962.066772,965.963806,959.144043,963.528198,953.952759,8267
2006-10-11,964.989563,964.989563,954.759949,955.247070,945.753967,4582
2006-10-12,963.528198,963.528198,955.247070,961.579651,952.023560,1610
2006-10-13,963.528198,963.528198,953.785706,959.144043,949.612183,2812
2006-10-16,962.553894,966.938049,956.708435,963.041016,953.470398,4598
2006-10-17,966.938049,972.783508,964.502441,972.783508,963.116089,13901
2006-10-18,973.757751,1013.214661,973.757751,1003.472229,993.499817,61666
2006-10-19,1014.676025,1021.008606,1008.830566,1021.008606,1010.861938,28013
2006-10-20,1036.596558,1108.203491,1031.725342,1106.742188,1095.743530,43545
2006-10-23,1138.892212,1139.866455,1107.229248,1109.664917,1098.637207,24958
2006-10-24,1115.510376,1149.608887,1109.664917,1149.608887,1138.184204,70906
2006-10-25,1152.044556,1166.658203,1152.044556,1164.709717,1153.135010,20383
2006-10-26,1176.400635,1180.297607,1152.044556,1176.400635,1164.709717,12539
2006-10-27,1207.089355,1287.951660,1188.091553,1261.647095,1261.647095,104000
2006-10-30,1299.155518,1361.994263,1276.260742,1344.457886,1344.457886,66112
2006-10-31,1371.736816,1398.041382,1349.816284,1367.352661,1367.352661,34667
2006-11-01,1371.249634,1388.298950,1367.839844,1372.711060,1372.711060,13312
2006-11-02,1376.120850,1383.427734,1372.711060,1374.659546,1374.659546,15247
2006-11-03,1376.120850,1443.343750,1376.120850,1378.556519,1378.556519,19710
2006-11-06,1400.477051,1400.477051,1378.556519,1381.479248,1381.479248,11341
2006-11-07,1381.966309,1393.170166,1380.505005,1382.453491,1382.453491,9425
2006-11-08,1382.940552,1387.324707,1382.453491,1382.940552,1382.940552,11074
2006-11-09,1388.298950,1388.298950,1382.940552,1383.427734,1383.427734,3748
2006-11-10,1383.427734,1390.247437,1382.453491,1382.453491,1382.453491,3889
2006-11-13,1382.940552,1386.350464,1382.453491,1382.453491,1382.453491,4494
2006-11-14,1382.940552,1387.324707,1382.453491,1384.889038,1384.889038,10010
2006-11-15,1388.298950,1444.805176,1388.298950,1392.682983,1392.682983,13888
2006-11-16,1412.655029,1437.498291,1402.912598,1417.039185,1417.039185,23503
2006-11-17,1441.395264,1501.798462,1431.165649,1437.011230,1437.011230,151953
2006-11-20,1478.416626,1478.416626,1447.727905,1464.777100,1464.777100,11898
2006-11-21,1476.468140,1523.231812,1476.468140,1493.030273,1493.030273,15436
2006-11-22,1510.079590,1578.763794,1509.592407,1578.763794,1578.763794,19702
2006-11-23,1609.939575,1680.572388,1514.950806,1600.197144,1600.197144,33507
2006-11-24,1626.988892,1630.885864,1570.969849,1626.988892,1626.988892,12580
2006-11-27,1648.909424,1692.263306,1613.836670,1645.986694,1645.986694,19078
2006-11-28,1670.829956,1680.572388,1640.628296,1657.677612,1657.677612,15523
